,date,open price,high price,low price,close price,AVG price,adjusted close price,volume,value fluctuation,rate fluctuation
29,2022-10-19,12.7,12.8,12.3,12.4,12.5,12.4,138100,-0.3,-2.36
30,2022-10-18,12.5,13.2,12.5,12.7,12.71,12.7,268300,0.4,3.25
31,2022-10-17,12.6,12.6,11.8,12.3,12.04,12.3,257600,-0.1,-0.81
32,2022-10-14,12.0,12.5,12.0,12.4,12.2,12.4,293700,0.6,5.08
33,2022-10-13,11.3,12.0,10.8,11.8,11.71,11.8,251200,0.4,3.51
34,2022-10-12,10.8,11.7,10.4,11.4,11.16,11.4,239900,0.6,5.56
35,2022-10-11,11.9,11.9,10.8,10.8,11.03,10.8,273200,-1.1,-9.24
36,2022-10-10,11.0,12.0,10.7,11.9,11.27,11.9,323200,0.2,1.71
37,2022-10-07,12.9,12.9,11.7,11.7,11.94,11.7,556300,-1.2,-9.3
38,2022-10-06,14.2,14.2,12.9,12.9,13.49,12.9,201200,-1.3,-9.15
39,2022-10-05,13.8,14.4,13.7,14.2,14.09,14.2,234600,0.5,3.65
40,2022-10-04,13.7,14.4,13.4,13.7,13.85,13.7,133700,0.0,0.0
41,2022-10-03,15.2,15.2,13.7,13.7,14.26,13.7,265200,-1.5,-9.87
42,2022-09-30,15.5,15.6,14.2,15.2,14.95,15.2,337500,-0.4,-2.56
43,2022-09-29,16.5,16.5,15.5,15.6,16.11,15.6,225100,-0.4,-2.5
44,2022-09-28,16.5,16.5,15.6,16.0,15.97,16.0,173400,-0.2,-1.23
45,2022-09-27,16.0,16.5,15.5,16.2,15.93,16.2,268500,0.2,1.25
46,2022-09-26,17.0,17.0,15.3,16.0,15.72,16.0,826700,-1.0,-5.88
47,2022-09-23,17.6,17.9,16.9,17.0,17.25,17.0,369200,-0.7,-3.95
48,2022-09-22,17.2,17.8,16.8,17.7,17.26,17.7,266300,0.2,1.14
49,2022-09-21,18.0,18.0,17.1,17.5,17.47,17.5,117100,-0.2,-1.13
50,2022-09-20,17.4,18.0,16.2,17.7,16.87,17.7,344900,0.6,3.51
51,2022-09-19,18.8,18.9,17.1,17.1,17.91,17.1,344600,-1.7,-9.04
52,2022-09-16,19.4,19.4,18.7,18.8,19.01,18.8,264900,-0.6,-3.09
53,2022-09-15,19.2,20.5,19.2,19.4,19.51,19.4,278000,0.2,1.04
54,2022-09-14,19.5,19.6,18.6,19.2,19.19,19.2,374400,-0.6,-3.03
